Dialogue_ID,Utterance_ID,Original_Emotion,Predicted_Emotion
Ses02F_impro01_,Ses02F_impro01_M023,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F022,fru,neutral
Ses02F_impro01_,Ses02F_impro01_M024,fru,neutral
Ses02F_impro01_,Ses02F_impro01_F023,fru,angry
Ses02F_impro02_,Ses02F_impro02_F000,sad,sad
Ses02F_impro02_,Ses02F_impro02_M000,xxx,sad
Ses02F_impro02_,Ses02F_impro02_F001,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M001,fru,sad
Ses02F_impro02_,Ses02F_impro02_F002,sad,happy
Ses02F_impro02_,Ses02F_impro02_M002,fru,sad
Ses02F_impro02_,Ses02F_impro02_F003,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M003,fru,sad
Ses02F_impro02_,Ses02F_impro02_F004,sad,neutral
Ses02F_impro02_,Ses02F_impro02_F005,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M004,xxx,sad
Ses02F_impro02_,Ses02F_impro02_M005,fru,sad
Ses02F_impro02_,Ses02F_impro02_F006,sad,neutral
Ses02F_impro02_,Ses02F_impro02_F007,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M006,fru,sad
Ses02F_impro02_,Ses02F_impro02_F008,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M007,sad,sad
Ses02F_impro02_,Ses02F_impro02_F009,sad,neutral
Ses02F_impro02_,Ses02F_impro02_M008,fru,sad
Ses02F_impro02_,Ses02F_impro02_F010,sad,sad
Ses02F_impro02_,Ses02F_impro02_F011,sad,sad
Ses02F_impro02_,Ses02F_impro02_M009,fru,angry
Ses02F_impro02_,Ses02F_impro02_M010,fru,sad
Ses02F_impro02_,Ses02F_impro02_F012,sad,sad
Ses02F_impro02_,Ses02F_impro02_M011,xxx,angry
Ses02F_impro02_,Ses02F_impro02_F013,sad,sad
Ses02F_impro02_,Ses02F_impro02_M012,sad,neutral
Ses02F_impro03_,Ses02F_impro03_F000,happy,happy
Ses02F_impro03_,Ses02F_impro03_M000,xxx,neutral
Ses02F_impro03_,Ses02F_impro03_F001,happy,happy
Ses02F_impro03_,Ses02F_impro03_M001,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F002,xxx,neutral
Ses02F_impro03_,Ses02F_impro03_M002,sur,neutral
Ses02F_impro03_,Ses02F_impro03_M003,xxx,happy
Ses02F_impro03_,Ses02F_impro03_F003,xxx,happy
Ses02F_impro03_,Ses02F_impro03_M004,happy,happy
Ses02F_impro03_,Ses02F_impro03_F004,happy,happy
Ses02F_impro03_,Ses02F_impro03_M005,happy,happy
Ses02F_impro03_,Ses02F_impro03_F005,xxx,happy
Ses02F_impro03_,Ses02F_impro03_F006,xxx,neutral
Ses02F_impro03_,Ses02F_impro03_F007,xxx,happy
Ses02F_impro03_,Ses02F_impro03_F008,xxx,happy
Ses02F_impro03_,Ses02F_impro03_M006,sur,happy
Ses02F_impro03_,Ses02F_impro03_F009,happy,happy
Ses02F_impro03_,Ses02F_impro03_M007,sur,happy
Ses02F_impro03_,Ses02F_impro03_F010,xxx,happy
Ses02F_impro03_,Ses02F_impro03_M008,xxx,happy
Ses02F_impro03_,Ses02F_impro03_F011,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M009,happy,neutral
Ses02F_impro03_,Ses02F_impro03_F012,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M010,happy,happy
Ses02F_impro03_,Ses02F_impro03_F013,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M011,happy,neutral
Ses02F_impro03_,Ses02F_impro03_F014,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M012,happy,happy
Ses02F_impro03_,Ses02F_impro03_F015,happy,neutral
Ses02F_impro03_,Ses02F_impro03_F016,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M013,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F017,happy,happy
Ses02F_impro03_,Ses02F_impro03_M014,neutral,happy
Ses02F_impro03_,Ses02F_impro03_F018,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M015,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F019,happy,neutral
Ses02F_impro03_,Ses02F_impro03_M016,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F020,xxx,neutral
Ses02F_impro03_,Ses02F_impro03_M017,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F021,happy,happy
Ses02F_impro03_,Ses02F_impro03_M018,neutral,neutral
Ses02F_impro03_,Ses02F_impro03_F022,xxx,happy
Ses02F_impro03_,Ses02F_impro03_M019,happy,happy
Ses02F_impro03_,Ses02F_impro03_F023,happy,happy
Ses02F_impro03_,Ses02F_impro03_M020,happy,happy
Ses02F_impro03_,Ses02F_impro03_F024,happy,happy
Ses02F_impro03_,Ses02F_impro03_M021,xxx,happy
Ses02F_impro03_,Ses02F_impro03_F025,xxx,happy
Ses02F_impro03_,Ses02F_impro03_M022,happy,happy
Ses02F_impro03_,Ses02F_impro03_M023,happy,happy
Ses02F_impro03_,Ses02F_impro03_F026,happy,happy
Ses02F_impro03_,Ses02F_impro03_M024,happy,happy
Ses02F_impro03_,Ses02F_impro03_F027,happy,happy
Ses02F_impro03_,Ses02F_impro03_M025,happy,happy
Ses02F_impro03_,Ses02F_impro03_F028,happy,happy
Ses02F_impro03_,Ses02F_impro03_F029,happy,happy
Ses02F_impro03_,Ses02F_impro03_M026,happy,happy
Ses02F_impro03_,Ses02F_impro03_F030,happy,happy
Ses02F_impro04_,Ses02F_impro04_M000,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F000,fru,sad
Ses02F_impro04_,Ses02F_impro04_M001,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F001,fru,sad
Ses02F_impro04_,Ses02F_impro04_F002,fru,neutral
Ses02F_impro04_,Ses02F_impro04_M002,xxx,neutral
Ses02F_impro04_,Ses02F_impro04_F003,fru,sad
Ses02F_impro04_,Ses02F_impro04_M003,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F004,fru,sad
Ses02F_impro04_,Ses02F_impro04_M004,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F005,fru,sad
Ses02F_impro04_,Ses02F_impro04_M005,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F006,fru,sad
Ses02F_impro04_,Ses02F_impro04_M006,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_M007,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F007,fru,sad
Ses02F_impro04_,Ses02F_impro04_M008,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F008,fru,angry
Ses02F_impro04_,Ses02F_impro04_M009,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F009,sad,sad
Ses02F_impro04_,Ses02F_impro04_M010,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_M011,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F010,fru,angry
Ses02F_impro04_,Ses02F_impro04_M012,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F011,fru,sad
Ses02F_impro04_,Ses02F_impro04_M013,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F012,fru,sad
Ses02F_impro04_,Ses02F_impro04_M014,fru,neutral
Ses02F_impro04_,Ses02F_impro04_F013,fru,sad
Ses02F_impro04_,Ses02F_impro04_M015,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F014,fru,sad
Ses02F_impro04_,Ses02F_impro04_M016,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_M017,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F015,fru,sad
Ses02F_impro04_,Ses02F_impro04_M018,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F016,sad,sad
Ses02F_impro04_,Ses02F_impro04_M019,neutral,neutral
Ses02F_impro04_,Ses02F_impro04_F017,xxx,sad
Ses02F_impro04_,Ses02F_impro04_M020,xxx,sad
Ses02F_impro05_,Ses02F_impro05_F000,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_M000,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F001,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_M001,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F002,sur,angry
Ses02F_impro05_,Ses02F_impro05_M002,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F003,sur,angry
Ses02F_impro05_,Ses02F_impro05_M003,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_M004,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F004,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_M005,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F005,sur,angry
Ses02F_impro05_,Ses02F_impro05_M006,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F006,angry,angry
Ses02F_impro05_,Ses02F_impro05_M007,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F007,fru,angry
Ses02F_impro05_,Ses02F_impro05_M008,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F008,xxx,sad
Ses02F_impro05_,Ses02F_impro05_F009,xxx,angry
Ses02F_impro05_,Ses02F_impro05_M009,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F010,angry,angry
Ses02F_impro05_,Ses02F_impro05_M010,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F011,fru,angry
Ses02F_impro05_,Ses02F_impro05_M011,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F012,xxx,angry
Ses02F_impro05_,Ses02F_impro05_M012,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F013,fru,angry
Ses02F_impro05_,Ses02F_impro05_M013,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F014,fru,angry
Ses02F_impro05_,Ses02F_impro05_M014,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F015,fru,angry
Ses02F_impro05_,Ses02F_impro05_M015,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F016,fru,angry
Ses02F_impro05_,Ses02F_impro05_M016,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F017,fru,angry
Ses02F_impro05_,Ses02F_impro05_M017,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_M018,neutral,angry
Ses02F_impro05_,Ses02F_impro05_F018,fru,angry
Ses02F_impro05_,Ses02F_impro05_M019,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F019,angry,angry
Ses02F_impro05_,Ses02F_impro05_M020,neutral,angry
Ses02F_impro05_,Ses02F_impro05_F020,fru,angry
Ses02F_impro05_,Ses02F_impro05_M021,neutral,neutral
Ses02F_impro05_,Ses02F_impro05_F021,xxx,neutral
Ses02F_impro05_,Ses02F_impro05_F022,fru,neutral
Ses02F_impro06_,Ses02F_impro06_M000,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F000,sad,sad
Ses02F_impro06_,Ses02F_impro06_M001,neutral,sad
Ses02F_impro06_,Ses02F_impro06_M002,neutral,sad
Ses02F_impro06_,Ses02F_impro06_F001,sad,sad
Ses02F_impro06_,Ses02F_impro06_M003,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F002,sad,sad
Ses02F_impro06_,Ses02F_impro06_M004,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F003,sad,sad
Ses02F_impro06_,Ses02F_impro06_M005,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F004,sad,sad
Ses02F_impro06_,Ses02F_impro06_M006,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_M007,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_M008,neutral,sad
Ses02F_impro06_,Ses02F_impro06_F005,sad,neutral
Ses02F_impro06_,Ses02F_impro06_F006,sad,neutral
Ses02F_impro06_,Ses02F_impro06_M009,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_M010,neutral,sad
Ses02F_impro06_,Ses02F_impro06_F007,sad,sad
Ses02F_impro06_,Ses02F_impro06_F008,sad,sad
Ses02F_impro06_,Ses02F_impro06_M011,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F009,sad,neutral
Ses02F_impro06_,Ses02F_impro06_M012,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_M013,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F010,sad,sad
Ses02F_impro06_,Ses02F_impro06_M014,neutral,sad
Ses02F_impro06_,Ses02F_impro06_M015,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F011,sad,sad
Ses02F_impro06_,Ses02F_impro06_M016,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F012,sad,sad
Ses02F_impro06_,Ses02F_impro06_M017,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F013,sad,sad
Ses02F_impro06_,Ses02F_impro06_M018,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_M019,neutral,neutral
Ses02F_impro06_,Ses02F_impro06_F014,sad,neutral
Ses02F_impro07_,Ses02F_impro07_M000,neutral,neutral
Ses02F_impro07_,Ses02F_impro07_F000,xxx,happy
Ses02F_impro07_,Ses02F_impro07_M001,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F001,happy,happy
Ses02F_impro07_,Ses02F_impro07_M002,happy,happy
Ses02F_impro07_,Ses02F_impro07_F002,happy,happy
Ses02F_impro07_,Ses02F_impro07_M003,happy,happy
Ses02F_impro07_,Ses02F_impro07_F003,happy,happy
Ses02F_impro07_,Ses02F_impro07_F004,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M004,happy,happy
Ses02F_impro07_,Ses02F_impro07_M005,happy,happy
Ses02F_impro07_,Ses02F_impro07_F005,happy,happy
Ses02F_impro07_,Ses02F_impro07_F006,happy,happy
Ses02F_impro07_,Ses02F_impro07_F007,happy,happy
Ses02F_impro07_,Ses02F_impro07_F008,happy,happy
Ses02F_impro07_,Ses02F_impro07_M006,happy,happy
Ses02F_impro07_,Ses02F_impro07_M007,happy,happy
Ses02F_impro07_,Ses02F_impro07_F009,happy,happy
Ses02F_impro07_,Ses02F_impro07_M008,happy,happy
Ses02F_impro07_,Ses02F_impro07_M009,happy,happy
Ses02F_impro07_,Ses02F_impro07_F010,happy,happy
Ses02F_impro07_,Ses02F_impro07_F011,happy,happy
Ses02F_impro07_,Ses02F_impro07_M010,happy,happy
Ses02F_impro07_,Ses02F_impro07_M011,happy,happy
Ses02F_impro07_,Ses02F_impro07_F012,happy,happy
Ses02F_impro07_,Ses02F_impro07_F013,happy,happy
Ses02F_impro07_,Ses02F_impro07_M012,xxx,happy
Ses02F_impro07_,Ses02F_impro07_M013,xxx,neutral
Ses02F_impro07_,Ses02F_impro07_F014,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F015,happy,happy
Ses02F_impro07_,Ses02F_impro07_M014,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F016,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M015,xxx,neutral
Ses02F_impro07_,Ses02F_impro07_M016,neutral,neutral
Ses02F_impro07_,Ses02F_impro07_F017,happy,happy
Ses02F_impro07_,Ses02F_impro07_M017,happy,happy
Ses02F_impro07_,Ses02F_impro07_F018,happy,happy
Ses02F_impro07_,Ses02F_impro07_M018,happy,happy
Ses02F_impro07_,Ses02F_impro07_M019,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F019,happy,happy
Ses02F_impro07_,Ses02F_impro07_F020,happy,happy
Ses02F_impro07_,Ses02F_impro07_M020,xxx,neutral
Ses02F_impro07_,Ses02F_impro07_F021,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M021,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F022,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F023,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M022,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F024,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M023,happy,happy
Ses02F_impro07_,Ses02F_impro07_F025,happy,happy
Ses02F_impro07_,Ses02F_impro07_M024,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F026,happy,happy
Ses02F_impro07_,Ses02F_impro07_M025,xxx,neutral
Ses02F_impro07_,Ses02F_impro07_M026,xxx,neutral
Ses02F_impro07_,Ses02F_impro07_M027,happy,happy
Ses02F_impro07_,Ses02F_impro07_M028,happy,happy
Ses02F_impro07_,Ses02F_impro07_F027,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F028,happy,happy
Ses02F_impro07_,Ses02F_impro07_F029,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M029,happy,happy
Ses02F_impro07_,Ses02F_impro07_F030,happy,happy
Ses02F_impro07_,Ses02F_impro07_F031,happy,neutral
Ses02F_impro07_,Ses02F_impro07_M030,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F032,happy,neutral
Ses02F_impro07_,Ses02F_impro07_F033,happy,happy
Ses02F_impro07_,Ses02F_impro07_M031,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F034,happy,happy
Ses02F_impro07_,Ses02F_impro07_M032,xxx,happy
Ses02F_impro07_,Ses02F_impro07_M033,xxx,happy
Ses02F_impro07_,Ses02F_impro07_M034,happy,happy
Ses02F_impro07_,Ses02F_impro07_F035,happy,happy
Ses02F_impro07_,Ses02F_impro07_M035,xxx,happy
Ses02F_impro07_,Ses02F_impro07_F036,happy,happy
Ses02F_impro07_,Ses02F_impro07_F037,happy,happy
Ses02F_impro08_,Ses02F_impro08_F000,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M000,fru,neutral
Ses02F_impro08_,Ses02F_impro08_M001,fru,angry
Ses02F_impro08_,Ses02F_impro08_F001,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M002,fru,sad
Ses02F_impro08_,Ses02F_impro08_F002,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M003,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F003,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M004,fru,neutral
Ses02F_impro08_,Ses02F_impro08_F004,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F005,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F006,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M005,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F007,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F008,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F009,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M006,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F010,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M007,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F011,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F012,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F013,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M008,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F014,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M009,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F015,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M010,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F016,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M011,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F017,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M012,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F018,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M013,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F019,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M014,xxx,happy
Ses02F_impro08_,Ses02F_impro08_F020,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_M015,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F021,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F022,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M016,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F023,neutral,happy
Ses02F_impro08_,Ses02F_impro08_F024,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M017,xxx,happy
Ses02F_impro08_,Ses02F_impro08_F025,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M018,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F026,neutral,happy
Ses02F_impro08_,Ses02F_impro08_M019,neutral,neutral
Ses02F_impro08_,Ses02F_impro08_F027,neutral,happy
Ses02F_script01,Ses02F_script01_2_F000,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M000,xxx,neutral
Ses02F_script01,Ses02F_script01_2_F001,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M001,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F002,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M002,neutral,neutral
Ses02F_script01,Ses02F_script01_2_M003,xxx,neutral
Ses02F_script01,Ses02F_script01_2_F003,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M004,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F004,oth,neutral
Ses02F_script01,Ses02F_script01_2_F005,angry,neutral
Ses02F_script01,Ses02F_script01_2_M005,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F006,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M006,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F007,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M007,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F008,fru,neutral
Ses02F_script01,Ses02F_script01_2_M008,neutral,neutral
Ses02F_script01,Ses02F_script01_2_F009,fru,neutral
Ses02F_script01,Ses02F_script01_2_M009,fru,neutral
Ses02F_script01,Ses02F_script01_2_F010,xxx,neutral
Ses02F_script01,Ses02F_script01_2_M010,fru,neutral
Ses02F_script01,Ses02F_script01_2_F011,fru,neutral
Ses02F_script01,Ses02F_script01_2_M011,fru,neutral
Ses02F_script01,Ses02F_script01_2_F012,angry,neutral
Ses02F_script01,Ses02F_script01_2_F013,angry,neutral
Ses02F_script01,Ses02F_script01_2_M012,fru,neutral
Ses02F_script01,Ses02F_script01_2_F014,fru,neutral
Ses02F_script01,Ses02F_script01_2_M013,fru,neutral
Ses02F_script01,Ses02F_script01_2_F015,fru,neutral
Ses02F_script01,Ses02F_script01_2_M014,fru,neutral
Ses02F_script01,Ses02F_script01_2_F016,fru,neutral
Ses02F_script01,Ses02F_script01_2_M015,xxx,neutral
Ses02F_script01,Ses02F_script01_2_F017,fru,neutral
Ses02F_script01,Ses02F_script01_2_M016,angry,neutral
Ses02F_script01,Ses02F_script01_2_M017,angry,neutral
Ses02F_script01,Ses02F_script01_2_F018,fru,neutral
Ses02F_script01,Ses02F_script01_2_M018,angry,neutral
Ses02F_script01,Ses02F_script01_3_F000,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M000,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F001,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F002,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M001,neutral,neutral
Ses02F_script01,Ses02F_script01_3_F003,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M002,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F004,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M003,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F005,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M004,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F006,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M005,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F007,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F008,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F009,sad,neutral
Ses02F_script01,Ses02F_script01_3_M006,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F010,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M007,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M008,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M009,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M010,happy,neutral
Ses02F_script01,Ses02F_script01_3_F011,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M011,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F012,happy,neutral
Ses02F_script01,Ses02F_script01_3_M012,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F013,happy,neutral
Ses02F_script01,Ses02F_script01_3_M013,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F014,happy,neutral
Ses02F_script01,Ses02F_script01_3_M014,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F015,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M015,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M016,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F016,happy,neutral
Ses02F_script01,Ses02F_script01_3_M017,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F017,xxx,neutral
Ses02F_script01,Ses02F_script01_3_M018,xxx,neutral
Ses02F_script01,Ses02F_script01_3_F018,xxx,neutral
