id,utterance,label,label_num,file_id,start,end,session,original_emotion,utterance_num
Ses02F_impro02_M003,"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--",fru,-1,Ses02F_impro02_,49.5424,63.7247,Session2,fru,7
Ses02F_impro02_F004,"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile.",sad,2,Ses02F_impro02_,63.2468,75.4222,Session2,sad,8
Ses02F_impro02_F005,You could send me pictures.,sad,2,Ses02F_impro02_,75.4413,78.5568,Session2,sad,9
Ses02F_impro02_M004,It's not going to be the same.,xxx,-1,Ses02F_impro02_,75.6898,78.5377,Session2,xxx,10
Ses02F_impro02_M005,"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--",fru,-1,Ses02F_impro02_,79.4743,88.2594,Session2,fru,11
Ses02F_impro02_F006,"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--",sad,2,Ses02F_impro02_,88.0123,94.8416,Session2,sad,12
Ses02F_impro02_F007,"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay.",sad,2,Ses02F_impro02_,96.6544,108.6034,Session2,sad,13
Ses02F_impro02_M006,This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.,fru,-1,Ses02F_impro02_,108.3358,114.6815,Session2,fru,14
Ses02F_impro02_F008,"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--",sad,2,Ses02F_impro02_,114.93,126.1305,Session2,sad,15
Ses02F_impro02_M007,But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--,sad,2,Ses02F_impro02_,126.3408,139.8386,Session2,sad,16
Ses02F_impro02_F009,You can just remember it for me.,sad,2,Ses02F_impro02_,139.4718,143.5239,Session2,sad,17
Ses02F_impro02_M008,I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--,fru,-1,Ses02F_impro02_,144.2502,150.5386,Session2,fru,18
Ses02F_impro02_F010,"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it.",sad,2,Ses02F_impro02_,148.5507,156.3682,Session2,sad,19
Ses02F_impro02_F011,"I mean, it's just as hard for me, but--I know that we can do it, you know",sad,2,Ses02F_impro02_,158.5369,166.766,Session2,sad,20
Ses02F_impro02_M009,"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--",fru,-1,Ses02F_impro02_,167.216,177.6416,Session2,fru,21
Ses02F_impro02_M010,...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.,fru,-1,Ses02F_impro02_,177.9283,185.5164,Session2,fru,22
Ses02F_impro02_F012,I don't want you in danger.  And I don't want her in danger.,sad,2,Ses02F_impro02_,184.8857,191.174,Session2,sad,23
Ses02F_impro02_M011,I don't want you in danger.  Where are you going?  You're going over to war.,xxx,-1,Ses02F_impro02_,190.0061,194.4042,Session2,xxx,24
Ses02F_impro02_F013,I have no choice. There's nothing I can do.,sad,2,Ses02F_impro02_,193.9264,207.04,Session2,sad,25
Ses02F_impro02_M012,All right.,sad,2,Ses02F_impro02_,208.8905,210.8151,Session2,sad,26
Ses02F_impro03_F000,"Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?",happy,1,Ses02F_impro03_,4.7324,8.78,Session2,exc,0
Ses02F_impro03_M000,What?,xxx,-1,Ses02F_impro03_,6.2177,8.7208,Session2,xxx,1
Ses02F_impro03_F001,"Well, guess.  Guess, guess, guess, guess.",happy,1,Ses02F_impro03_,8.81,10.93,Session2,exc,2
Ses02F_impro03_M001,"Um, you--",neutral,3,Ses02F_impro03_,10.86,14.2922,Session2,neu,3
Ses02F_impro03_F002,Don't look at my left hand.,xxx,-1,Ses02F_impro03_,14.08,16.13,Session2,xxx,4
Ses02F_impro03_M002,No.  Let me see.,sur,-1,Ses02F_impro03_,16.74,20.1143,Session2,sur,5
Ses02F_impro03_M003,"Oh, no way.",xxx,-1,Ses02F_impro03_,20.6584,23.29,Session2,xxx,6
Ses02F_impro03_F003,"He proposed.  He proposed.  Well, and I said yes, of course. [LAUGHTER]",xxx,-1,Ses02F_impro03_,22.66,28.0319,Session2,xxx,7
Ses02F_impro03_M004,That is great.  You look radiant.  I should've guess.,happy,1,Ses02F_impro03_,25.72,31.42,Session2,hap,8
Ses02F_impro03_F004,I'm so excited.,happy,1,Ses02F_impro03_,30.65,32.65,Session2,exc,9
Ses02F_impro03_M005,"Well, Tell me about him.  What happened.",happy,1,Ses02F_impro03_,31.91,34.5281,Session2,exc,10
Ses02F_impro03_F005,"Remember how we had that date?  And I was like, oh yeah, this is a date, whatever.",xxx,-1,Ses02F_impro03_,34.5699,38.8951,Session2,xxx,11
Ses02F_impro03_F006,"So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird.",xxx,-1,Ses02F_impro03_,39.0078,52.92,Session2,xxx,12
Ses02F_impro03_F007,"So, he--so we walked down to the pier and there's like these lights--like these little, like lights-- and we're like what's that? And he's like I don't know let's go find out.",xxx,-1,Ses02F_impro03_,52.93,61.8184,Session2,xxx,13
Ses02F_impro03_F008,So we walked down there and there's-[LAUGHTER]-And there's- this huge like ten foot heart in candles on the beach--,xxx,-1,Ses02F_impro03_,61.83,69.86,Session2,xxx,14
Ses02F_impro03_M006,What?,sur,-1,Ses02F_impro03_,69.65,71.33,Session2,sur,15
Ses02F_impro03_F009,"like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out.",happy,1,Ses02F_impro03_,69.91,81.9971,Session2,exc,16
Ses02F_impro03_M007,That--that is the most romantic thing I have ever heard.,sur,-1,Ses02F_impro03_,81.7153,85.53,Session2,sur,17
Ses02F_impro03_F010,"I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea.",xxx,-1,Ses02F_impro03_,83.93,91.61,Session2,xxx,18
Ses02F_impro03_M008,"Wow.  Yeah, 'cause yeah I don't know I'm sure if he--oh yeah he definitely had--would have had to have someone else--",xxx,-1,Ses02F_impro03_,90.55,97.0405,Session2,xxx,19
Ses02F_impro03_F011,'Cause- 'Cause he was with me. You didn't do it did you?,happy,1,Ses02F_impro03_,95.45,99.6572,Session2,exc,20
Ses02F_impro03_M009,"Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it.",happy,1,Ses02F_impro03_,97.27,102.0738,Session2,hap,21
Ses02F_impro03_F012,You didn't know anything?,happy,1,Ses02F_impro03_,101.5291,102.95,Session2,exc,22
Ses02F_impro03_M010,No. I'm just as happy as you are.  This is--,happy,1,Ses02F_impro03_,102.8845,106.06,Session2,hap,23
Ses02F_impro03_F013,"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--",happy,1,Ses02F_impro03_,105.135,111.47,Session2,exc,24
Ses02F_impro03_M011,"So, I mean--it's good though.",happy,1,Ses02F_impro03_,110.84,114.19,Session2,hap,25
Ses02F_impro03_F014,"It is good.  It's totally good.  I mean, it like oh, you know.",happy,1,Ses02F_impro03_,112.7,117.27,Session2,exc,26
Ses02F_impro03_M012,"Yeah, I know.  Wow.  I'm shaking.  I can't even--",happy,1,Ses02F_impro03_,116.73,121.8195,Session2,exc,27
Ses02F_impro03_F015,I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out,happy,1,Ses02F_impro03_,121.0516,127.2609,Session2,hap,28
Ses02F_impro03_F016,"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--",happy,1,Ses02F_impro03_,127.3236,133.2123,Session2,hap,29
Ses02F_impro03_M013,"Oh. Do they--do they know yet? Have you told them? Oh, that's--",neutral,3,Ses02F_impro03_,130.9859,137.0738,Session2,neu,30
Ses02F_impro03_F017,"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--",happy,1,Ses02F_impro03_,133.6443,140.07,Session2,hap,31
Ses02F_impro03_M014,That's great.  Yeah.,neutral,3,Ses02F_impro03_,139.87,141.31,Session2,neu,32
Ses02F_impro03_F018,"So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--",happy,1,Ses02F_impro03_,141.21,148.237,Session2,hap,33
Ses02F_impro03_M015,Okay. You know--you know where?  Or--,neutral,3,Ses02F_impro03_,145.5923,149.6643,Session2,neu,34
Ses02F_impro03_F019,"I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,",happy,1,Ses02F_impro03_,149.08,156.2108,Session2,hap,35
Ses02F_impro03_M016,"Uh, huh. I mean, you know, it's spring--It'll be--",neutral,3,Ses02F_impro03_,153.6844,156.4834,Session2,neu,36
Ses02F_impro03_F020,"But It's sort of hard 'cause the weather is so unpredictable and then if it's like cold that day.  Or if it's too hot, you know, it's like--but um--",xxx,-1,Ses02F_impro03_,156.23,164.7969,Session2,xxx,37
Ses02F_impro03_M017,Spring's nice though.,neutral,3,Ses02F_impro03_,164.59,166.04,Session2,neu,38
Ses02F_impro03_F021,"Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy",happy,1,Ses02F_impro03_,165.4402,176.5255,Session2,exc,39
Ses02F_impro03_M018,"Yeah, that is--how long you guys been together now?",neutral,3,Ses02F_impro03_,175.73,179.59,Session2,neu,40
Ses02F_impro03_F022,Two and a half years. [LAUGHTER],xxx,-1,Ses02F_impro03_,178.79,180.87,Session2,xxx,41
Ses02F_impro03_M019,Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER],happy,1,Ses02F_impro03_,179.88,188.4736,Session2,hap,42
Ses02F_impro03_F023,Thank you. Thank you so much.,happy,1,Ses02F_impro03_,187.29,190.02,Session2,hap,43
Ses02F_impro03_M020,"Yeah, I'd love to be in that same situation some day, but, wow- so-",happy,1,Ses02F_impro03_,189.38,195.65,Session2,hap,44
Ses02F_impro03_F024,"Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great.",happy,1,Ses02F_impro03_,195.46,201.9,Session2,exc,45
Ses02F_impro03_M021,You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--,xxx,-1,Ses02F_impro03_,201.04,207.0585,Session2,xxx,46
Ses02F_impro03_F025,You approve?  You approve?,xxx,-1,Ses02F_impro03_,205.46,207.6783,Session2,xxx,47
Ses02F_impro03_M022,"Oh, I approve. I-[LAUGHTER]-I more than approve.",happy,1,Ses02F_impro03_,207.5653,211.0588,Session2,hap,48
Ses02F_impro03_M023,"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--",happy,1,Ses02F_impro03_,211.0776,220.74,Session2,hap,49
Ses02F_impro03_F026,"Yeah, it's pretty good.",happy,1,Ses02F_impro03_,220.38,222.24,Session2,hap,50
Ses02F_impro03_M024,"Well--can--I mean, let me know--I want- I want invitations and--",happy,1,Ses02F_impro03_,221.52,225.77,Session2,exc,51
Ses02F_impro03_F027,"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors.",happy,1,Ses02F_impro03_,225.0487,228.4874,Session2,hap,52
Ses02F_impro03_M025,"Oh, yes.  This is the whole [GARBAGE]",happy,1,Ses02F_impro03_,228.14,233.2,Session2,exc,53
Ses02F_impro03_F028,"It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure.",happy,1,Ses02F_impro03_,231.8858,240.3492,Session2,exc,54
Ses02F_impro03_F029,She'll be like--flowers and the--,happy,1,Ses02F_impro03_,240.4223,244.0151,Session2,hap,55
Ses02F_impro03_M026,"It'll be good.  Wow, that's great.",happy,1,Ses02F_impro03_,244.0986,246.85,Session2,hap,56
Ses02F_impro03_F030,"Oh, thank you. [LAUGHTER]",happy,1,Ses02F_impro03_,246.65,250.5635,Session2,hap,57
Ses02F_impro04_M000,"So, uh, so how's it been going?  I mean, you have any needs or anything?",neutral,3,Ses02F_impro04_,5.1392,9.5052,Session2,neu,0
Ses02F_impro04_F000,I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--,fru,-1,Ses02F_impro04_,9.6322,19.042,Session2,fru,1
Ses02F_impro04_M001,"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't",neutral,3,Ses02F_impro04_,19.1897,25.48,Session2,neu,2
Ses02F_impro04_F001,"Yeah, but it--I mean it's the same response you get over and over again.  Like--",fru,-1,Ses02F_impro04_,24.67,28.9797,Session2,fru,3
Ses02F_impro04_F002,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready.",fru,-1,Ses02F_impro04_,29.0536,34.96,Session2,fru,4
Ses02F_impro04_M002,"Yeah--I know what you mean.  I've gone through like similar stuff, but--",xxx,-1,Ses02F_impro04_,34.85,39.72,Session2,xxx,5
Ses02F_impro04_F003,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--",fru,-1,Ses02F_impro04_,39.17,46.3474,Session2,fru,6
Ses02F_impro04_M003,"No, come on.  Don't [GARBAGE]",neutral,3,Ses02F_impro04_,45.8486,49.25,Session2,neu,7
Ses02F_impro04_F004,"I just--I can't do it anymore.  Like, it just takes it out of you--",fru,-1,Ses02F_impro04_,48.7571,54.098,Session2,fru,8
Ses02F_impro04_M004,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",neutral,3,Ses02F_impro04_,52.9062,65.8663,Session2,neu,9
Ses02F_impro04_F005,I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.,fru,-1,Ses02F_impro04_,63.83,74.64,Session2,fru,10
Ses02F_impro04_M005,"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive.",neutral,3,Ses02F_impro04_,74.54,82.15,Session2,neu,11
Ses02F_impro04_F006,"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--",fru,-1,Ses02F_impro04_,80.37,91.5702,Session2,fru,12
Ses02F_impro04_M006,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",neutral,3,Ses02F_impro04_,89.4093,97.07,Session2,neu,13
Ses02F_impro04_M007,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,neutral,3,Ses02F_impro04_,97.17,104.0,Session2,neu,14
Ses02F_impro04_F007,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand.",fru,-1,Ses02F_impro04_,102.47,111.8,Session2,fru,15
Ses02F_impro04_M008,"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--",neutral,3,Ses02F_impro04_,111.55,116.4043,Session2,neu,16
Ses02F_impro04_F008,"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--",fru,-1,Ses02F_impro04_,117.2799,129.1165,Session2,fru,17
Ses02F_impro04_M009,"But you gotta.  Otherwise, what is--what's your other option?",neutral,3,Ses02F_impro04_,129.3592,135.09,Session2,neu,18
Ses02F_impro04_F009,I feel so worthless.,sad,2,Ses02F_impro04_,132.9672,135.27,Session2,sad,19
Ses02F_impro04_M010,"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and...",neutral,3,Ses02F_impro04_,135.85,145.057,Session2,neu,20
Ses02F_impro04_M011,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,neutral,3,Ses02F_impro04_,145.067,151.05,Session2,neu,21
Ses02F_impro04_F010,And what would make you say that?  There doesn't seem to be any indicators that anything's going to get better.,fru,-1,Ses02F_impro04_,150.38,156.5983,Session2,fru,22
Ses02F_impro04_M012,"Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-",neutral,3,Ses02F_impro04_,156.7354,174.3532,Session2,neu,23
Ses02F_impro04_F011,"It's just really hard.  I feel like their starting to get like a personal prejudice against me.  You know what I mean?  Like it's like suddenly it starts to feel like it's just you that they say no to and it's not that they're not taking applications and it's not that they're not hiring people, it's just you particularly they have some particular reason for just hating you.  You know?",fru,-1,Ses02F_impro04_,173.36,192.93,Session2,fru,24
Ses02F_impro04_M013,"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",neutral,3,Ses02F_impro04_,192.84,205.99,Session2,neu,25
Ses02F_impro04_F012,Or they'll never talk to me again.,fru,-1,Ses02F_impro04_,204.97,207.21,Session2,fru,26
Ses02F_impro04_M014,"Or, well, no.  Okay. you -[GARBAGE]",fru,-1,Ses02F_impro04_,207.1941,212.1841,Session2,fru,27
Ses02F_impro04_F013,"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--",fru,-1,Ses02F_impro04_,212.279,229.8,Session2,fru,28
Ses02F_impro04_M015,"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",neutral,3,Ses02F_impro04_,229.5,242.27,Session2,neu,29
Ses02F_impro04_F014,"I guess the money shouldn't matter to me, but--Somehow it does.  You know? It's not like I do it for the money, but",fru,-1,Ses02F_impro04_,242.01,248.83,Session2,fru,30
Ses02F_impro04_M016,Right.,neutral,3,Ses02F_impro04_,244.79,245.9,Session2,neu,31
Ses02F_impro04_M017,"Well, you've gotta live.",neutral,3,Ses02F_impro04_,245.97,248.0,Session2,neu,32
Ses02F_impro04_F015,"you have to--I mean, if you're hired by somebody, then you're not a professional, you're an amateur and that means that you're not good enough.",fru,-1,Ses02F_impro04_,248.86,256.9182,Session2,fru,33
Ses02F_impro04_M018,"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",neutral,3,Ses02F_impro04_,257.1676,266.49,Session2,neu,34
Ses02F_impro04_F016,"I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning.",sad,2,Ses02F_impro04_,266.3,274.17,Session2,sad,35
Ses02F_impro04_M019,"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though.",neutral,3,Ses02F_impro04_,271.69,277.0401,Session2,neu,36
Ses02F_impro04_F017,I don't know how to get out of it.  I don't know how to dig myself out of it.  It's the same hole that I've been digging and digging and digging.  I can't--,xxx,-1,Ses02F_impro04_,276.09,286.51,Session2,xxx,37
Ses02F_impro04_M020,I don't know.,xxx,-1,Ses02F_impro04_,287.19,288.55,Session2,xxx,38
